📈, Added new google analytics gtag
✅, Fixed failed integration test
✅, Fixed unit tests
✅, Fixed UI tests
✅, Added unit tests for a feature
🔀, Merge branch 'main' of https://github.com/SSWConsulting/SSW.FireEmoji into xyz
🔀, Merge branch 'main' of https://github.com/random/repo into another-branch
🔀, Merge branch 'master' of https://github.com/xyz/zyx into yanb
🔀, Merge branch 'release' of https://github.com/gfdsf675/5364 into dsfdgh
🔀, Merge branch 'prod' of https://github.com/ci/cd into hot-fix
🔀, Merge from main
🔀, Merge from master
🔀, Merge to main
🔀, Merge to master
🔀, Merge to prod
🔀, Merge to staging
🚀, New release for console and VS Code extension
📝, Added images for docs
📝, Added images for readme
🔥, Removed ml model to avoid case sensitive issues
🚀, Deploy new model
🚀, Deployed new ML model
🚀, Deployed new version
🚀, Deployed updated ML
🔥, Deleted views and view models
🚧, Started working on sync on mobile
🚧, Started working on work-flow for xyz
🚧, Working on a feature
🚧, Working on some asdf bug
